id;model;include_size;include_training_data;training data size;dataset;causal/bidir;size;Avg. Performance;Ellipsis;Argument Structure;Determiner-Noun Agreement;Island Effects;Subject-Verb Agreement;Control/Raising;Anaphor Agreement;Irreg. Forms;Quantifiers;Binding;NPI Licensing;Filler-Gap
586;BERT large;1;1;~3.3B;blimp;bidir;<1B;84.8;86.4;80.7;97.6;77;91.9;82.7;97.2;92.8;72.8;82;83.4;84.3
586;Roberta base ;1;1;30B ~160GB;blimp;bidir;<1B;85.4;91.4;83.5;97;80.7;91.9;81.9;97.3;96.2;69.8;77.8;81;90.1
586;Roberta large ;1;1;30B ~160GB;blimp;bidir;<1B;86.5;90.8;84.6;96.8;83.4;91.4;84.1;97.8;96.8;70.2;79.1;85.5;88.9
623;Llama-3 ;1;1;~15 T;blimp;causal;>7B;73.6;;;;;;;;;;;;
623;Llama-3-Inst.;1;1;~15 T;blimp;causal;>7B;88.9;;;;;;;;;;;;
623;Mixtral;1;1;n.a;blimp;causal;>7B;84.1;;;;;;;;;;;;
623;Mixtral-Inst. ;1;1;n.a;blimp;causal;>7B;84;;;;;;;;;;;;
623;Qwen2-57B-A14B;1;1;~7T;blimp;causal;>7B;89;;;;;;;;;;;;
623;Qwen2-Inst;1;1;~7T;blimp;causal;>7B;86.8;;;;;;;;;;;;
623;Llama-3 ;0;0;;climp;causal;>7B;85.7;;;;;;;;;;;;
623;Llama-3-Inst.;0;0;;climp;causal;>7B;82.9;;;;;;;;;;;;
623;Mixtral;0;0;;climp;causal;>7B;87.4;;;;;;;;;;;;
623;Mixtral-Inst. ;0;0;;climp;causal;>7B;86.8;;;;;;;;;;;;
623;Qwen2-57B-A14B;0;0;;climp;causal;>7B;87.9;;;;;;;;;;;;
623;Qwen2-Inst;0;0;;climp;causal;>7B;86.2;;;;;;;;;;;;
634;Llama 2;1;1;~2T;blimp;causal;<1B;84;;;;;;;;;;;;
634;RoBERTa-Base;1;1;30B ~160GB;blimp;bidir;<1B;87;;;;;;;;;;;;
634;OPT-125M (strict);1;1;10M;blimp;causal;<1B;75;;;;;;;;;;;;
634;OPT-125M (s-small);1;1;100M;blimp;causal;<1B;63;;;;;;;;;;;;
635;Llama3;0;0;;MultiBLiMP accuracy ;causal;>7B;;;;;;;;;;;;;
635;Aya;0;0;;MultiBLiMP accuracy ;causal;;;;;;;;;;;;;;
635;Gemma3;0;0;;MultiBLiMP accuracy ;causal;;;;;;;;;;;;;;
635;Olmo2;0;0;;MultiBLiMP accuracy ;causal;;;;;;;;;;;;;;
635;Qwen3;0;0;;MultiBLiMP accuracy ;causal;;;;;;;;;;;;;;
635;EuroLLm;0;0;;MultiBLiMP accuracy ;causal;;;;;;;;;;;;;;
635;Goldfish;0;0;;MultiBLiMP accuracy ;causal;<1B;;;;;;;;;;;;;
